"","regions","cluster"
"2319","chr6-54010319-54011370","healthy"
"2320","chr6-56514466-56514851","healthy"
"2321","chr6-61951526-61951995","healthy"
"2322","chr6-63432315-63432944","healthy"
"2323","chr6-63708549-63708934","healthy"
"2324","chr6-64785829-64787206","healthy"
"2325","chr6-73632166-73633244","healthy"
"2326","chr6-73667124-73667711","healthy"
"2327","chr6-73774200-73774874","healthy"
"2328","chr6-73783774-73784188","healthy"
"2329","chr6-73805169-73805940","healthy"
"2330","chr6-79116765-79117303","healthy"
"2331","chr6-79143220-79143849","healthy"
"2332","chr6-79188667-79189454","healthy"
"2333","chr6-79813657-79814498","healthy"
"2334","chr6-82871670-82872622","healthy"
"2335","chr6-82877164-82877824","healthy"
"2336","chr6-83169205-83169941","healthy"
"2337","chr6-83365449-83366355","healthy"
"2338","chr6-85389139-85389497","healthy"
"2339","chr6-85389883-85391120","healthy"
"2340","chr6-85448854-85449074","healthy"
"2341","chr6-85579502-85579963","healthy"
"2342","chr6-87628106-87628858","healthy"
"2343","chr6-87664725-87665239","healthy"
"2344","chr6-87731288-87732753","healthy"
"2345","chr6-89035183-89036323","healthy"
"2346","chr6-89036862-89037948","healthy"
"2347","chr6-89272081-89273006","healthy"
"2348","chr6-89515727-89516308","healthy"
"2349","chr6-89780765-89781651","healthy"
"2350","chr6-99151592-99152541","healthy"
"2351","chr6-99195479-99196591","healthy"
"2352","chr6-106997438-106998727","healthy"
"2353","chr6-107229927-107230588","healthy"
"2354","chr6-107441561-107442157","healthy"
"2355","chr6-107467825-107468618","healthy"
"2356","chr6-107538411-107540601","healthy"
"2357","chr6-108525606-108525950","healthy"
"2358","chr6-108526113-108526325","healthy"
"2359","chr6-108579189-108579572","healthy"
"2360","chr6-108587091-108587780","healthy"
"2361","chr6-108628049-108628795","healthy"
"2362","chr6-108713880-108715081","healthy"
"2363","chr6-109019136-109019508","healthy"
"2364","chr6-109194290-109195328","healthy"
"2365","chr6-109286127-109286735","healthy"
"2366","chr6-109306412-109306841","healthy"
"2367","chr6-109326155-109326775","healthy"
"2368","chr6-109332390-109333188","healthy"
"2369","chr6-109351562-109352091","healthy"
"2370","chr6-110287200-110288257","healthy"
"2371","chr6-110355101-110355352","healthy"
"2372","chr6-110395872-110396412","healthy"
"2373","chr6-110516773-110517466","healthy"
"2374","chr6-110565590-110567131","healthy"
"2375","chr6-111097525-111098119","healthy"
"2376","chr6-111277729-111278146","healthy"
"2377","chr6-111296478-111296990","healthy"
"2378","chr6-114158730-114159454","healthy"
"2379","chr6-116015975-116016403","healthy"
"2380","chr6-116016700-116017797","healthy"
"2381","chr6-116104645-116104972","healthy"
"2382","chr6-116105819-116106097","healthy"
"2383","chr6-116234395-116235074","healthy"
"2384","chr6-116306963-116307419","healthy"
"2385","chr6-118993437-118994279","healthy"
"2386","chr6-122801466-122802046","healthy"
"2387","chr6-125984148-125984760","healthy"
"2388","chr6-127385550-127386441","healthy"
"2389","chr6-127397069-127397941","healthy"
"2390","chr6-127419371-127419926","healthy"
"2391","chr6-130826966-130827987","healthy"
"2392","chr6-131641393-131641964","healthy"
"2393","chr6-134172686-134173128","healthy"
"2394","chr6-134802460-134803114","healthy"
"2395","chr6-134948782-134949032","healthy"
"2396","chr6-134949664-134950320","healthy"
"2397","chr6-136325923-136326708","healthy"
"2398","chr6-136466668-136467449","healthy"
"2399","chr6-136642040-136642423","healthy"
"2400","chr6-136647131-136647978","healthy"
"2401","chr6-136752500-136753023","healthy"
"2402","chr6-138267955-138268894","healthy"
"2403","chr6-138371028-138372037","healthy"
"2404","chr6-138507885-138508540","healthy"
"2405","chr6-138926220-138926542","healthy"
"2406","chr6-139002799-139003414","healthy"
"2407","chr6-139013171-139013549","healthy"
"2408","chr6-139323226-139324335","healthy"
"2409","chr6-143107403-143107800","healthy"
"2410","chr6-143119253-143119587","healthy"
"2411","chr6-143233378-143234153","healthy"
"2412","chr6-143240957-143241498","healthy"
"2413","chr6-143949365-143950469","healthy"
"2414","chr6-147510933-147511215","healthy"
"2415","chr6-147530146-147531083","healthy"
"2416","chr6-147804119-147804870","healthy"
"2417","chr6-148537647-148538801","healthy"
"2418","chr6-149453996-149455181","healthy"
"2419","chr6-149467307-149469208","healthy"
"2420","chr6-149489629-149489887","healthy"
"2421","chr6-149590120-149591206","healthy"
"2422","chr6-150175165-150176041","healthy"
"2423","chr6-150176103-150176568","healthy"
"2424","chr6-150181118-150181668","healthy"
"2425","chr6-150237858-150239124","healthy"
"2426","chr6-150373218-150373630","healthy"
"2427","chr6-150376897-150377746","healthy"
"2428","chr6-150546330-150547900","healthy"
"2429","chr6-150572928-150573685","healthy"
"2430","chr6-150640371-150641198","healthy"
"2431","chr6-151254280-151255171","healthy"
"2432","chr6-151616031-151616687","healthy"
"2433","chr6-151665174-151665595","healthy"
"2434","chr6-151666419-151666940","healthy"
"2435","chr6-151698701-151699281","healthy"
"2436","chr6-151699437-151700154","healthy"
"2437","chr6-152305779-152306040","healthy"
"2438","chr6-154440032-154440750","healthy"
"2439","chr6-155219086-155219661","healthy"
"2440","chr6-156850782-156851718","healthy"
"2441","chr6-158153506-158153944","healthy"
"2442","chr6-158183136-158184137","healthy"
"2443","chr6-158706228-158706709","healthy"
"2444","chr6-158718126-158718994","healthy"
"2445","chr6-158751220-158752949","healthy"
"2446","chr6-158805964-158806355","healthy"
"2447","chr6-158861643-158861984","healthy"
"2448","chr6-158961330-158961748","healthy"
"2449","chr6-160047777-160048309","healthy"
"2450","chr6-160058610-160059168","healthy"
"2451","chr6-160092626-160093174","healthy"
"2452","chr6-160510950-160511544","healthy"
"2453","chr6-160692423-160692651","healthy"
"2454","chr6-160697735-160698638","healthy"
"2455","chr6-160704254-160705159","healthy"
"2456","chr6-160708744-160709346","healthy"
"2457","chr6-161435794-161436707","healthy"
"2458","chr6-162372806-162373554","healthy"
"2459","chr6-162388489-162390079","healthy"
"2460","chr6-162466162-162466614","healthy"
"2461","chr6-162477614-162479413","healthy"
"2462","chr6-165551927-165552821","healthy"
"2463","chr6-165553439-165553659","healthy"
"2464","chr6-166330493-166331005","healthy"
"2465","chr6-166387574-166388234","healthy"
"2466","chr6-166394124-166394860","healthy"
"2467","chr6-167154218-167154670","healthy"
"2468","chr6-167162376-167163112","healthy"
"2469","chr6-167928113-167928689","healthy"
"2470","chr6-168242633-168243295","healthy"
"2471","chr6-169220360-169220989","healthy"
"2472","chr6-169268857-169269860","healthy"
"2473","chr6-169799521-169800500","healthy"
"2474","chr7-142047-142845","healthy"
"2475","chr7-191776-193340","healthy"
"2476","chr7-194219-194630","healthy"
"2477","chr7-197227-197886","healthy"
"2478","chr7-607146-607510","healthy"
"2479","chr7-882241-882702","healthy"
"2480","chr7-887835-888693","healthy"
"2481","chr7-1011731-1012691","healthy"
"2482","chr7-1048976-1049408","healthy"
"2483","chr7-1080240-1080812","healthy"
"2484","chr7-1087880-1088419","healthy"
"2485","chr7-1340463-1342606","healthy"
"2486","chr7-1817230-1818547","healthy"
"2487","chr7-2372860-2373704","healthy"
"2488","chr7-2387858-2388344","healthy"
"2489","chr7-2389678-2390417","healthy"
"2490","chr7-2417634-2418564","healthy"
"2491","chr7-2616957-2617842","healthy"
"2492","chr7-2621942-2622639","healthy"
"2493","chr7-2622781-2623784","healthy"
"2494","chr7-2629743-2630579","healthy"
"2495","chr7-2638422-2638773","healthy"
"2496","chr7-2639905-2640196","healthy"
"2497","chr7-2666175-2666988","healthy"
"2498","chr7-2679028-2679955","healthy"
"2499","chr7-2817294-2817792","healthy"
"2500","chr7-2832094-2832920","healthy"
"2501","chr7-2835294-2835656","healthy"
"2502","chr7-4981287-4981774","healthy"
"2503","chr7-5552641-5553195","healthy"
"2504","chr7-6012614-6012977","healthy"
"2505","chr7-7249473-7250484","healthy"
"2506","chr7-7292918-7293557","healthy"
"2507","chr7-11211972-11212636","healthy"
"2508","chr7-11212770-11213666","healthy"
"2509","chr7-11234309-11235307","healthy"
"2510","chr7-12111165-12112276","healthy"
"2511","chr7-12320178-12321200","healthy"
"2512","chr7-14457563-14458093","healthy"
"2513","chr7-14888654-14889483","healthy"
"2514","chr7-15314712-15315306","healthy"
"2515","chr7-21565963-21566498","healthy"
"2516","chr7-23160126-23160721","healthy"
"2517","chr7-24164260-24164992","healthy"
"2518","chr7-24456608-24457621","healthy"
"2519","chr7-24479916-24480828","healthy"
"2520","chr7-27605780-27606775","healthy"
"2521","chr7-30177961-30179386","healthy"
"2522","chr7-30181314-30181600","healthy"
"2523","chr7-30252848-30253705","healthy"
"2524","chr7-30253922-30254184","healthy"
"2525","chr7-30254293-30255679","healthy"
"2526","chr7-30427341-30428103","healthy"
"2527","chr7-30521657-30522649","healthy"
"2528","chr7-30522994-30523449","healthy"
"2529","chr7-30552381-30552838","healthy"
"2530","chr7-30909831-30910130","healthy"
"2531","chr7-30913351-30914126","healthy"
"2532","chr7-38283577-38284041","healthy"
"2533","chr7-39753767-39754997","healthy"
"2534","chr7-40057985-40058551","healthy"
"2535","chr7-40122168-40123189","healthy"
"2536","chr7-40145524-40146400","healthy"
"2537","chr7-40151058-40151923","healthy"
"2538","chr7-40155899-40157379","healthy"
"2539","chr7-40604616-40605148","healthy"
"2540","chr7-40610523-40611098","healthy"
"2541","chr7-40611395-40611696","healthy"
"2542","chr7-40755186-40755781","healthy"
"2543","chr7-41942199-41944096","healthy"
"2544","chr7-41948220-41948776","healthy"
"2545","chr7-41954904-41955469","healthy"
"2546","chr7-41977103-41977993","healthy"
"2547","chr7-42029585-42030081","healthy"
"2548","chr7-42080508-42081497","healthy"
"2549","chr7-43376981-43377935","healthy"
"2550","chr7-43405217-43405607","healthy"
"2551","chr7-43466063-43466569","healthy"
"2552","chr7-43942775-43944044","healthy"
"2553","chr7-44062512-44063413","healthy"
"2554","chr7-44075412-44076390","healthy"
"2555","chr7-44155452-44155872","healthy"
"2556","chr7-44320723-44321474","healthy"
"2557","chr7-44322511-44323077","healthy"
"2558","chr7-44470281-44470978","healthy"
"2559","chr7-44561949-44562659","healthy"
"2560","chr7-44563228-44563690","healthy"
"2561","chr7-44580818-44581296","healthy"
"2562","chr7-44630776-44631804","healthy"
"2563","chr7-44634590-44634949","healthy"
"2564","chr7-44636192-44636491","healthy"
"2565","chr7-44973464-44974177","healthy"
"2566","chr7-45135927-45136998","healthy"
"2567","chr7-47274010-47274754","healthy"
"2568","chr7-47293929-47294941","healthy"
"2569","chr7-47341838-47342238","healthy"
"2570","chr7-47405550-47407057","healthy"
"2571","chr7-47413790-47414612","healthy"
"2572","chr7-47498635-47499015","healthy"
"2573","chr7-47511582-47512266","healthy"
"2574","chr7-47522753-47523207","healthy"
"2575","chr7-47542736-47543205","healthy"
"2576","chr7-47600560-47602180","healthy"
"2577","chr7-47725960-47727105","healthy"
"2578","chr7-48139446-48140563","healthy"
"2579","chr7-48144190-48144657","healthy"
"2580","chr7-50556604-50556881","healthy"
"2581","chr7-50560793-50561225","healthy"
"2582","chr7-50667282-50668219","healthy"
"2583","chr7-50683970-50684631","healthy"
"2584","chr7-50697543-50698042","healthy"
"2585","chr7-50770891-50771795","healthy"
"2586","chr7-51382011-51382606","healthy"
"2587","chr7-55369798-55370077","healthy"
"2588","chr7-56029010-56029889","healthy"
"2589","chr7-66013653-66014301","healthy"
"2590","chr7-66077755-66078492","healthy"
"2591","chr7-66574794-66575786","healthy"
"2592","chr7-66866646-66867656","healthy"
"2593","chr7-67089112-67089660","healthy"
"2594","chr7-67346551-67347078","healthy"
"2595","chr7-69584117-69584795","healthy"
"2596","chr7-70505406-70506822","healthy"
"2597","chr7-70614375-70615125","healthy"
"2598","chr7-70621693-70622566","healthy"
"2599","chr7-75358652-75359366","healthy"
"2600","chr7-75509072-75509510","healthy"
"2601","chr7-75593437-75593830","healthy"
"2602","chr7-75887716-75888049","healthy"
"2603","chr7-75906850-75907763","healthy"
"2604","chr7-75920338-75920905","healthy"
"2605","chr7-75971275-75971678","healthy"
"2606","chr7-75979569-75980990","healthy"
"2607","chr7-76064162-76064509","healthy"
"2608","chr7-78746055-78746774","healthy"
"2609","chr7-82403983-82404681","healthy"
"2610","chr7-82405298-82405698","healthy"
"2611","chr7-85171048-85171513","healthy"
"2612","chr7-85172296-85172904","healthy"
"2613","chr7-85185096-85187273","healthy"
"2614","chr7-87427231-87427755","healthy"
"2615","chr7-87592346-87593065","healthy"
"2616","chr7-88907560-88908159","healthy"
"2617","chr7-89063893-89064333","healthy"
"2618","chr7-89180359-89181086","healthy"
"2619","chr7-90261104-90261734","healthy"
"2620","chr7-90266791-90267865","healthy"
"2621","chr7-90311087-90311539","healthy"
"2622","chr7-90452891-90453591","healthy"
"2623","chr7-90464638-90465180","healthy"
"2624","chr7-90502987-90503700","healthy"
"2625","chr7-90528867-90529654","healthy"
"2626","chr7-90537566-90538207","healthy"
"2627","chr7-90764710-90765130","healthy"
"2628","chr7-90787959-90788524","healthy"
"2629","chr7-91139877-91140621","healthy"
"2630","chr7-92330699-92331422","healthy"
"2631","chr7-92402765-92403324","healthy"
"2632","chr7-94742234-94743279","healthy"
"2633","chr7-95224962-95225694","healthy"
"2634","chr7-95549721-95550972","healthy"
"2635","chr7-95558689-95559217","healthy"
"2636","chr7-95582297-95582858","healthy"
"2637","chr7-95586294-95586875","healthy"
"2638","chr7-95595808-95597200","healthy"
"2639","chr7-95659660-95660363","healthy"
"2640","chr7-96126103-96126733","healthy"
"2641","chr7-96169349-96170020","healthy"
"2642","chr7-96308091-96308656","healthy"
"2643","chr7-96415391-96415904","healthy"
"2644","chr7-98148743-98149565","healthy"
"2645","chr7-99290916-99291572","healthy"
"2646","chr7-99772096-99772955","healthy"
"2647","chr7-99975292-99976421","healthy"
"2648","chr7-99980223-99981425","healthy"
"2649","chr7-100000949-100001418","healthy"
"2650","chr7-100003573-100004235","healthy"
"2651","chr7-100022516-100022984","healthy"
"2652","chr7-100036610-100037303","healthy"
"2653","chr7-100045853-100046517","healthy"
"2654","chr7-100093458-100094189","healthy"
"2655","chr7-100111568-100112165","healthy"
"2656","chr7-100863586-100863879","healthy"
"2657","chr7-101289279-101290736","healthy"
"2658","chr7-101858609-101859512","healthy"
"2659","chr7-101965233-101965607","healthy"
"2660","chr7-102210742-102211164","healthy"
"2661","chr7-102221986-102222510","healthy"
"2662","chr7-102340409-102341279","healthy"
"2663","chr7-102469711-102470792","healthy"
"2664","chr7-102842648-102842963","healthy"
"2665","chr7-103151051-103151509","healthy"
"2666","chr7-103313390-103314105","healthy"
"2667","chr7-103316930-103317642","healthy"
"2668","chr7-104238878-104239666","healthy"
"2669","chr7-104241288-104241686","healthy"
"2670","chr7-104852257-104853226","healthy"
"2671","chr7-105589078-105589790","healthy"
"2672","chr7-105680220-105680789","healthy"
"2673","chr7-105935287-105935635","healthy"
"2674","chr7-106046937-106048448","healthy"
"2675","chr7-106119482-106120366","healthy"
"2676","chr7-106151696-106152537","healthy"
"2677","chr7-107211254-107211506","healthy"
"2678","chr7-107486659-107486963","healthy"
"2679","chr7-108524802-108525046","healthy"
"2680","chr7-112160397-112161105","healthy"
"2681","chr7-112223027-112223983","healthy"
"2682","chr7-114182806-114183213","healthy"
"2683","chr7-115878524-115879426","healthy"
"2684","chr7-115968049-115968958","healthy"
"2685","chr7-116614312-116615318","healthy"
"2686","chr7-116927982-116928338","healthy"
"2687","chr7-116942491-116942950","healthy"
"2688","chr7-117070023-117070334","healthy"
"2689","chr7-117072593-117073158","healthy"
"2690","chr7-117769059-117769345","healthy"
"2691","chr7-117771371-117772799","healthy"
"2692","chr7-123183268-123183858","healthy"
"2693","chr7-123199395-123200223","healthy"
"2694","chr7-123203912-123204991","healthy"
"2695","chr7-123341457-123341960","healthy"
"2696","chr7-123613935-123614790","healthy"
"2697","chr7-123705009-123705567","healthy"
"2698","chr7-128000181-128001331","healthy"
"2699","chr7-128026427-128026860","healthy"
"2700","chr7-128088482-128089100","healthy"
"2701","chr7-128386459-128386811","healthy"
"2702","chr7-128658330-128658957","healthy"
"2703","chr7-129290164-129290774","healthy"
"2704","chr7-129359561-129360020","healthy"
"2705","chr7-129394924-129395364","healthy"
"2706","chr7-129397593-129397885","healthy"
"2707","chr7-129497063-129497616","healthy"
"2708","chr7-130113447-130114198","healthy"
"2709","chr7-131147557-131148354","healthy"
"2710","chr7-132336514-132337945","healthy"
"2711","chr7-134353243-134353790","healthy"
"2712","chr7-134354886-134356363","healthy"
"2713","chr7-135059775-135060187","healthy"
"2714","chr7-135206951-135207644","healthy"
"2715","chr7-135651903-135653697","healthy"
"2716","chr7-137763543-137764276","healthy"
"2717","chr7-138960698-138961526","healthy"
"2718","chr7-138962394-138963922","healthy"
"2719","chr7-138979734-138980295","healthy"
"2720","chr7-139116786-139117361","healthy"
"2721","chr7-139578212-139578798","healthy"
"2722","chr7-139581099-139581840","healthy"
"2723","chr7-139598512-139599050","healthy"
"2724","chr7-139641244-139641912","healthy"
"2725","chr7-139645517-139646360","healthy"
"2726","chr7-139666819-139667085","healthy"
"2727","chr7-139679670-139681154","healthy"
"2728","chr7-141381669-141382325","healthy"
"2729","chr7-141648076-141649034","healthy"
"2730","chr7-141685317-141686030","healthy"
"2731","chr7-141695641-141696328","healthy"
"2732","chr7-141714951-141715416","healthy"
"2733","chr7-141724565-141725168","healthy"
"2734","chr7-141977844-141978581","healthy"
"2735","chr7-141995382-141996301","healthy"
"2736","chr7-142009009-142009631","healthy"
"2737","chr7-142017324-142017710","healthy"
"2738","chr7-142033134-142033459","healthy"
"2739","chr7-143268402-143269597","healthy"
"2740","chr7-143841615-143841990","healthy"
"2741","chr7-149874619-149875023","healthy"
"2742","chr7-149882309-149883082","healthy"
"2743","chr7-150825829-150826737","healthy"
"2744","chr7-150830689-150831511","healthy"
"2745","chr7-150851799-150852853","healthy"
"2746","chr7-151710474-151711057","healthy"
"2747","chr7-151713542-151713741","healthy"
"2748","chr7-151744692-151745658","healthy"
"2749","chr7-151772661-151772996","healthy"
"2750","chr7-151801321-151802791","healthy"
"2751","chr7-151867816-151868762","healthy"
"2752","chr7-151871080-151871533","healthy"
"2753","chr7-155665114-155665686","healthy"
"2754","chr7-155681895-155682887","healthy"
"2755","chr7-156744832-156746073","healthy"
"2756","chr7-157150791-157151235","healthy"
"2757","chr7-157334295-157334563","healthy"
"2758","chr7-157397488-157398235","healthy"
"2759","chr7-158865446-158865941","healthy"
"2760","chr7-158869862-158870158","healthy"
"2761","chr7-158951074-158951899","healthy"
"2762","chr8-488207-489094","healthy"
"2763","chr8-1563637-1564670","healthy"
"2764","chr8-1631241-1632117","healthy"
"2765","chr8-1897137-1897726","healthy"
"2766","chr8-1929296-1931232","healthy"
"2767","chr8-1931408-1932485","healthy"
"2768","chr8-1957986-1958380","healthy"
"2769","chr8-1970917-1971159","healthy"
"2770","chr8-1981495-1981956","healthy"
"2771","chr8-2004415-2004779","healthy"
"2772","chr8-2006884-2007689","healthy"
"2773","chr8-2097539-2098443","healthy"
"2774","chr8-2874966-2875731","healthy"
"2775","chr8-2882554-2883159","healthy"
"2776","chr8-3094068-3094554","healthy"
"2777","chr8-6502770-6503763","healthy"
"2778","chr8-6514801-6515625","healthy"
"2779","chr8-6735187-6736009","healthy"
"2780","chr8-8375946-8376543","healthy"
"2781","chr8-10195577-10196292","healthy"
"2782","chr8-10242419-10243399","healthy"
"2783","chr8-10258280-10258919","healthy"
"2784","chr8-10272200-10272676","healthy"
"2785","chr8-10287351-10288054","healthy"
"2786","chr8-10310414-10310876","healthy"
"2787","chr8-10349665-10351467","healthy"
"2788","chr8-10370227-10370965","healthy"
"2789","chr8-10545779-10546155","healthy"
"2790","chr8-10569606-10570595","healthy"
"2791","chr8-10600617-10601221","healthy"
"2792","chr8-10729781-10731163","healthy"
"2793","chr8-11836099-11836711","healthy"
"2794","chr8-11898223-11898713","healthy"
"2795","chr8-17800578-17801949","healthy"
"2796","chr8-17976027-17976769","healthy"
"2797","chr8-18061376-18061786","healthy"
"2798","chr8-18097237-18098175","healthy"
"2799","chr8-18109099-18109925","healthy"
"2800","chr8-18170032-18171234","healthy"
"2801","chr8-20212809-20213400","healthy"
"2802","chr8-21864166-21864758","healthy"
"2803","chr8-21922764-21923067","healthy"
"2804","chr8-22143673-22143995","healthy"
"2805","chr8-22210495-22211973","healthy"
"2806","chr8-22251824-22252723","healthy"
"2807","chr8-22388995-22389768","healthy"
"2808","chr8-22425482-22426033","healthy"
"2809","chr8-22584766-22585379","healthy"
"2810","chr8-22588480-22589517","healthy"
"2811","chr8-22596329-22596694","healthy"
"2812","chr8-22800470-22801512","healthy"
"2813","chr8-22811508-22811939","healthy"
"2814","chr8-22812039-22813156","healthy"
"2815","chr8-22927457-22928766","healthy"
"2816","chr8-22995554-22995971","healthy"
"2817","chr8-23003806-23004155","healthy"
"2818","chr8-23208067-23209446","healthy"
"2819","chr8-23267157-23267556","healthy"
"2820","chr8-24266674-24267365","healthy"
"2821","chr8-26226342-26226895","healthy"
"2822","chr8-26295907-26296412","healthy"
"2823","chr8-26320938-26321546","healthy"
"2824","chr8-26421101-26421419","healthy"
"2825","chr8-26438928-26439499","healthy"
"2826","chr8-26636766-26637520","healthy"
"2827","chr8-26648055-26648959","healthy"
"2828","chr8-26651010-26651456","healthy"
"2829","chr8-27399470-27400054","healthy"
"2830","chr8-27488355-27488667","healthy"
"2831","chr8-27505383-27506135","healthy"
"2832","chr8-27514413-27515450","healthy"
"2833","chr8-27528987-27529442","healthy"
"2834","chr8-27556264-27557607","healthy"
"2835","chr8-27893563-27894354","healthy"
"2836","chr8-28019490-28019837","healthy"
"2837","chr8-28042223-28042696","healthy"
"2838","chr8-28075269-28076438","healthy"
"2839","chr8-28077543-28078206","healthy"
"2840","chr8-28087072-28087603","healthy"
"2841","chr8-28185221-28186062","healthy"
"2842","chr8-28373109-28373881","healthy"
"2843","chr8-29199574-29199875","healthy"
"2844","chr8-29259456-29259773","healthy"
"2845","chr8-30287993-30288999","healthy"
"2846","chr8-30451966-30452770","healthy"
"2847","chr8-30545837-30546414","healthy"
"2848","chr8-30552063-30553003","healthy"
"2849","chr8-30602532-30602968","healthy"
"2850","chr8-30725680-30726207","healthy"
"2851","chr8-33562940-33563631","healthy"
"2852","chr8-33580712-33581902","healthy"
"2853","chr8-33606749-33607349","healthy"
"2854","chr8-38059934-38060575","healthy"
"2855","chr8-38083268-38084057","healthy"
"2856","chr8-38085245-38085643","healthy"
"2857","chr8-38166539-38166979","healthy"
"2858","chr8-38277892-38278753","healthy"
"2859","chr8-38835068-38835536","healthy"
"2860","chr8-38925034-38925531","healthy"
"2861","chr8-39016644-39017123","healthy"
"2862","chr8-39019770-39020186","healthy"
"2863","chr8-39948814-39949170","healthy"
"2864","chr8-41511760-41512518","healthy"
"2865","chr8-41580642-41581036","healthy"
"2866","chr8-41595095-41595689","healthy"
"2867","chr8-41607585-41608486","healthy"
"2868","chr8-42382833-42383588","healthy"
"2869","chr8-42456213-42456816","healthy"
"2870","chr8-42484374-42485343","healthy"
"2871","chr8-43082522-43082869","healthy"
"2872","chr8-47523280-47523974","healthy"
"2873","chr8-47525662-47526765","healthy"
"2874","chr8-47735922-47736196","healthy"
"2875","chr8-48150065-48150629","healthy"
"2876","chr8-49841389-49842883","healthy"
"2877","chr8-49909603-49911013","healthy"
"2878","chr8-51852919-51853443","healthy"
"2879","chr8-51867605-51867995","healthy"
"2880","chr8-52203091-52203470","healthy"
"2881","chr8-52695204-52695809","healthy"
"2882","chr8-55761016-55761593","healthy"
"2883","chr8-59030027-59030833","healthy"
"2884","chr8-62901761-62902209","healthy"
"2885","chr8-63008392-63008879","healthy"
"2886","chr8-63009091-63010583","healthy"
"2887","chr8-65635229-65635969","healthy"
"2888","chr8-65671809-65672118","healthy"
"2889","chr8-65786619-65787315","healthy"
"2890","chr8-65788791-65789288","healthy"
"2891","chr8-65789902-65790323","healthy"
"2892","chr8-65991538-65991990","healthy"
"2893","chr8-66719870-66720209","healthy"
"2894","chr8-66753837-66754540","healthy"
"2895","chr8-67095908-67096653","healthy"
"2896","chr8-69993902-69995125","healthy"
"2897","chr8-70332009-70333699","healthy"
"2898","chr8-72403419-72404132","healthy"
"2899","chr8-73325257-73325869","healthy"
"2900","chr8-74193415-74193964","healthy"
"2901","chr8-75505009-75505980","healthy"
"2902","chr8-75506305-75506667","healthy"
"2903","chr8-79962134-79962483","healthy"
"2904","chr8-80078781-80079776","healthy"
"2905","chr8-80230275-80231500","healthy"
"2906","chr8-80236545-80237168","healthy"
"2907","chr8-80237742-80238516","healthy"
"2908","chr8-80240382-80240964","healthy"
"2909","chr8-80309201-80309764","healthy"
"2910","chr8-80379683-80380317","healthy"
"2911","chr8-80439859-80440351","healthy"
"2912","chr8-80590908-80591716","healthy"
"2913","chr8-81605722-81606433","healthy"
"2914","chr8-84788406-84789136","healthy"
"2915","chr8-85236730-85236943","healthy"
"2916","chr8-85238292-85238626","healthy"
"2917","chr8-85239250-85240073","healthy"
"2918","chr8-85476953-85477388","healthy"
"2919","chr8-86229835-86230770","healthy"
"2920","chr8-86232738-86233098","healthy"
"2921","chr8-86255312-86255914","healthy"
"2922","chr8-86350531-86350977","healthy"
"2923","chr8-89809309-89809868","healthy"
"2924","chr8-89824134-89825001","healthy"
"2925","chr8-89918986-89919666","healthy"
"2926","chr8-90577591-90578142","healthy"
"2927","chr8-90679436-90680114","healthy"
"2928","chr8-91003986-91004413","healthy"
"2929","chr8-91017931-91018578","healthy"
"2930","chr8-93165500-93166179","healthy"
"2931","chr8-93748370-93749045","healthy"
"2932","chr8-94253246-94253918","healthy"
"2933","chr8-94905074-94906071","healthy"
"2934","chr8-94906079-94906770","healthy"
"2935","chr8-94961808-94962159","healthy"
"2936","chr8-94963521-94964181","healthy"
"2937","chr8-94971787-94972457","healthy"
"2938","chr8-96228324-96229492","healthy"
"2939","chr8-96268315-96269365","healthy"
"2940","chr8-96793314-96793871","healthy"
"2941","chr8-97821365-97822297","healthy"
"2942","chr8-97848943-97850504","healthy"
"2943","chr8-98004820-98005383","healthy"
"2944","chr8-98018015-98018651","healthy"
"2945","chr8-98031188-98031875","healthy"
"2946","chr8-98075710-98076085","healthy"
"2947","chr8-98112255-98112832","healthy"
"2948","chr8-98113115-98113817","healthy"
"2949","chr8-100680700-100681369","healthy"
"2950","chr8-100692129-100693034","healthy"
"2951","chr8-101354826-101355684","healthy"
"2952","chr8-101790445-101791378","healthy"
"2953","chr8-102511340-102512393","healthy"
"2954","chr8-102797349-102798056","healthy"
"2955","chr8-103057104-103057441","healthy"
"2956","chr8-103173638-103174604","healthy"
"2957","chr8-103270393-103271058","healthy"
"2958","chr8-104478862-104479293","healthy"
"2959","chr8-104493465-104494046","healthy"
"2960","chr8-108139161-108140286","healthy"
"2961","chr8-115284644-115285330","healthy"
"2962","chr8-115649274-115650265","healthy"
"2963","chr8-115774439-115775320","healthy"
"2964","chr8-115778239-115778966","healthy"
"2965","chr8-116828926-116829295","healthy"
"2966","chr8-117001689-117002384","healthy"
"2967","chr8-119674453-119674856","healthy"
"2968","chr8-119767280-119768304","healthy"
"2969","chr8-119955795-119956958","healthy"
"2970","chr8-119977130-119977506","healthy"
"2971","chr8-122658654-122660263","healthy"
"2972","chr8-123012046-123013002","healthy"
"2973","chr8-123204765-123205701","healthy"
"2974","chr8-123218924-123219578","healthy"
"2975","chr8-123264281-123264854","healthy"
"2976","chr8-123832516-123833078","healthy"
"2977","chr8-123833332-123833650","healthy"
"2978","chr8-123838939-123839543","healthy"
"2979","chr8-123851647-123852397","healthy"
"2980","chr8-124047755-124048394","healthy"
"2981","chr8-124054266-124054968","healthy"
"2982","chr8-124408844-124409427","healthy"
"2983","chr8-124600376-124601826","healthy"
"2984","chr8-124847231-124849254","healthy"
